Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,Chinese,female,1,-2,1
0,2,Chinese,male,3,1,0
0,3,German,female,3,-5,0
0,4,Chinese,male,3,-5,1
0,5,Chinese,female,2,-1,0
0,6,Chinese,male,2,5,0
0,7,American,female,1,4,1
0,8,German,male,3,3,0
0,9,American,female,1,5,1
0,10,Indian,male,3,-1,0
0,11,American,male,1,4,0
0,12,Indian,female,3,-2,1
0,13,Chinese,female,2,8,0
0,14,German,female,3,2,0
0,15,Indian,female,2,-6,0
0,16,African,male,2,2,0
0,17,American,female,1,5,1
0,18,African,male,3,1,0
0,19,African,male,3,1,0
0,20,Indian,male,2,5,0
0,21,Chinese,male,1,7,0
0,22,American,male,3,-1,1
0,23,African,male,1,3,0
0,24,African,female,2,1,0
0,25,German,female,1,-6,0
0,26,German,male,1,-4,0
0,27,Chinese,female,1,3,0
0,28,Chinese,female,1,5,0
0,29,Indian,female,1,6,1
0,30,Chinese,male,2,-5,0
0,31,American,male,2,-1,1
0,32,American,male,1,-1,0
0,33,American,female,1,3,1
0,34,German,female,1,-5,0
0,35,Indian,female,2,-6,0
0,36,Chinese,male,3,-5,0
0,37,Chinese,female,2,8,0
0,38,German,male,1,-5,0
0,39,Indian,female,2,-5,0
0,40,American,female,2,8,0
0,41,American,male,2,-4,0
0,42,Indian,female,3,7,0
0,43,Chinese,female,3,5,0
0,44,Indian,male,2,-5,0
0,45,Indian,female,3,2,1
0,46,American,male,2,7,0
0,47,African,male,3,5,0
0,48,African,male,2,4,0
0,49,Indian,male,2,4,0
0,50,Chinese,male,2,-6,0
1,1,Chinese,female,4,2,1
1,2,Chinese,male,5,5,0
1,3,German,female,5,-11,0
1,4,Chinese,male,4,-4,1
1,5,Chinese,female,5,1,0
1,6,Chinese,male,5,9,0
1,7,American,female,3,-1,1
1,8,German,male,6,11,0
1,9,American,female,4,4,1
1,10,Indian,male,5,0,0
1,11,American,male,2,6,0
1,12,Indian,female,5,-6,1
1,13,Chinese,female,5,15,0
1,14,German,female,4,6,0
1,15,Indian,female,3,-1,0
1,16,African,male,5,4,0
1,17,American,female,3,4,1
1,18,African,male,5,-4,0
1,19,African,male,6,-4,0
1,20,Indian,male,5,6,0
1,21,Chinese,male,2,13,0
1,22,American,male,5,-5,1
1,23,African,male,3,-2,0
1,24,African,female,4,8,0
1,25,German,female,4,-4,0
1,26,German,male,3,4,0
1,27,Chinese,female,2,10,0
1,28,Chinese,female,3,12,0
1,29,Indian,female,2,9,1
1,30,Chinese,male,3,1,0
1,31,American,male,4,-6,1
1,32,American,male,4,1,0
1,33,American,female,3,-2,1
1,34,German,female,2,-4,0
1,35,Indian,female,4,-9,0
1,36,Chinese,male,5,-6,0
1,37,Chinese,female,3,4,0
1,38,German,male,2,-10,0
1,39,Indian,female,3,0,0
1,40,American,female,3,13,0
1,41,American,male,3,-7,0
1,42,Indian,female,5,4,0
1,43,Chinese,female,5,10,0
1,44,Indian,male,3,-9,0
1,45,Indian,female,5,8,1
1,46,American,male,4,5,0
1,47,African,male,6,4,0
1,48,African,male,5,-1,0
1,49,Indian,male,5,7,0
1,50,Chinese,male,3,2,0
2,1,Chinese,female,7,-1,1
2,2,Chinese,male,8,13,0
2,3,German,female,6,-6,0
2,4,Chinese,male,7,-10,1
2,5,Chinese,female,6,-5,0
2,6,Chinese,male,6,16,0
2,7,American,female,6,-7,1
2,8,German,male,7,7,0
2,9,American,female,5,5,1
2,10,Indian,male,7,-6,0
2,11,American,male,5,12,0
2,12,Indian,female,7,-5,1
2,13,Chinese,female,7,9,0
2,14,German,female,6,1,0
2,15,Indian,female,6,3,0
2,16,African,male,8,3,0
2,17,American,female,6,8,1
2,18,African,male,8,3,0
2,19,African,male,7,4,0
2,20,Indian,male,7,10,0
2,21,Chinese,male,3,12,0
2,22,American,male,6,-10,1
2,23,African,male,6,-4,0
2,24,African,female,6,5,0
2,25,German,female,6,-1,0
2,26,German,male,5,7,0
2,27,Chinese,female,4,5,0
2,28,Chinese,female,4,14,0
2,29,Indian,female,5,3,1
2,30,Chinese,male,5,-1,0
2,31,American,male,5,-3,1
2,32,American,male,6,4,0
2,33,American,female,5,-6,1
2,34,German,female,4,-1,0
2,35,Indian,female,5,-6,0
2,36,Chinese,male,7,1,0
2,37,Chinese,female,6,-1,0
2,38,German,male,3,-3,0
2,39,Indian,female,5,-2,0
2,40,American,female,4,18,0
2,41,American,male,6,-3,0
2,42,Indian,female,7,8,0
2,43,Chinese,female,8,12,0
2,44,Indian,male,5,-4,0
2,45,Indian,female,8,6,1
2,46,American,male,7,2,0
2,47,African,male,7,-1,0
2,48,African,male,7,-5,0
2,49,Indian,male,8,6,0
2,50,Chinese,male,4,5,0
3,1,Chinese,female,8,5,1
3,2,Chinese,male,11,7,0
3,3,German,female,9,-7,0
3,4,Chinese,male,10,-3,1
3,5,Chinese,female,8,-3,0
