Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,Chinese,female,1,-2,0
0,2,American,male,2,8,0
0,3,African,female,1,7,0
0,4,German,female,1,-1,0
0,5,American,male,2,4,0
0,6,African,female,3,8,0
0,7,American,male,3,-5,0
0,8,American,male,1,4,0
0,9,African,male,3,-4,0
0,10,American,male,2,-5,0
0,11,Indian,male,3,4,0
0,12,Chinese,female,2,8,0
0,13,German,female,3,2,0
0,14,Indian,female,2,-6,0
0,15,African,male,2,2,0
0,16,American,female,1,5,0
0,17,American,male,3,3,0
0,18,American,female,2,-4,0
0,19,Chinese,female,2,4,0
0,20,American,male,2,4,0
0,21,German,female,1,7,0
0,22,Indian,male,3,2,0
0,23,German,female,1,-6,0
0,24,Chinese,female,3,1,0
0,25,African,female,2,8,0
0,26,Indian,male,3,8,0
0,27,Indian,male,2,7,0
0,28,American,male,3,-4,0
0,29,African,male,1,8,0
0,30,American,female,2,2,0
0,31,American,male,2,8,0
0,32,African,female,1,1,0
0,33,African,female,3,-3,0
0,34,African,male,3,8,0
0,35,Indian,female,3,2,0
0,36,American,female,2,8,0
0,37,American,female,2,2,0
0,38,German,male,1,4,0
0,39,Chinese,male,3,2,0
0,40,German,female,2,4,0
0,41,Chinese,female,3,-3,0
0,42,Chinese,male,2,-2,0
0,43,Chinese,male,1,5,0
0,44,Indian,male,2,1,0
0,45,Chinese,male,3,6,0
0,46,Indian,female,1,1,0
0,47,German,male,1,-5,0
0,48,Chinese,female,3,3,0
0,49,African,female,2,-1,0
0,50,African,male,2,-2,0
0,51,African,male,2,-3,0
0,52,Indian,male,3,2,0
0,53,German,male,2,2,0
0,54,American,female,2,2,0
0,55,Chinese,female,2,6,0
1,1,Chinese,female,4,2,0
1,2,American,male,5,9,0
1,3,African,female,3,8,0
1,4,German,female,3,-2,0
1,5,American,male,5,5,0
1,6,African,female,6,6,0
1,7,American,male,5,-11,0
1,8,American,male,3,2,0
1,9,African,male,6,-5,0
1,10,American,male,5,3,0
1,11,Indian,male,6,2,0
1,12,Chinese,female,5,15,0
1,13,German,female,4,6,0
1,14,Indian,female,3,-1,0
1,15,African,male,5,4,0
1,16,American,female,3,4,0
1,17,American,male,4,10,0
1,18,American,female,3,-8,0
1,19,Chinese,female,4,11,0
1,20,American,male,3,10,0
1,21,German,female,2,9,0
1,22,Indian,male,5,3,0
1,23,German,female,2,-8,0
1,24,Chinese,female,4,-4,0
1,25,African,female,5,11,0
1,26,Indian,male,4,7,0
1,27,Indian,male,3,6,0
1,28,American,male,6,1,0
1,29,African,male,4,9,0
1,30,American,female,5,-3,0
1,31,American,male,5,16,0
1,32,African,female,3,7,0
1,33,African,female,6,-5,0
1,34,African,male,5,3,0
1,35,Indian,female,5,-2,0
1,36,American,female,3,11,0
1,37,American,female,4,9,0
1,38,German,male,2,-2,0
1,39,Chinese,male,4,6,0
1,40,German,female,4,7,0
1,41,Chinese,female,6,3,0
1,42,Chinese,male,5,0,0
1,43,Chinese,male,3,4,0
1,44,Indian,male,3,3,0
1,45,Chinese,male,4,14,0
1,46,Indian,female,4,0,0
1,47,German,male,2,1,0
1,48,Chinese,female,6,0,0
1,49,African,female,4,4,0
1,50,African,male,3,-8,0
1,51,African,male,4,-5,0
1,52,Indian,male,4,6,0
1,53,German,male,4,0,0
1,54,American,female,5,4,0
1,55,Chinese,female,5,1,0
2,1,Chinese,female,7,-1,0
2,2,American,male,6,13,0
2,3,African,female,6,4,0
2,4,German,female,5,-4,0
2,5,American,male,6,9,0
2,6,African,female,9,5,0
2,7,American,male,7,-17,0
2,8,American,male,6,4,0
2,9,African,male,8,-8,0
2,10,American,male,6,-1,0
2,11,Indian,male,7,3,0
2,12,Chinese,female,7,9,0
2,13,German,female,6,1,0
2,14,Indian,female,6,3,0
2,15,African,male,8,3,0
2,16,American,female,6,8,0
2,17,American,male,7,8,0
2,18,American,female,6,-10,0
2,19,Chinese,female,7,12,0
2,20,American,male,6,6,0
2,21,German,female,3,15,0
2,22,Indian,male,7,8,0
2,23,German,female,4,-6,0
2,24,Chinese,female,6,-10,0
2,25,African,female,8,6,0
2,26,Indian,male,5,6,0
2,27,Indian,male,4,3,0
2,28,American,male,7,6,0
2,29,African,male,6,14,0
2,30,American,female,6,-4,0
2,31,American,male,7,12,0
2,32,African,female,5,5,0
2,33,African,female,8,-7,0
2,34,African,male,6,2,0
2,35,Indian,female,7,-6,0
2,36,American,female,4,13,0
2,37,American,female,5,13,0
2,38,German,male,4,-1,0
2,39,Chinese,male,6,11,0
2,40,German,female,7,13,0
2,41,Chinese,female,7,-3,0
2,42,Chinese,male,8,5,0
2,43,Chinese,male,5,-1,0
2,44,Indian,male,4,0,0
2,45,Chinese,male,7,21,0
2,46,Indian,female,7,-3,0
2,47,German,male,5,-2,0
2,48,Chinese,female,7,8,0
2,49,African,female,5,6,0
2,50,African,male,6,-1,0
2,51,African,male,6,-9,0
2,52,Indian,male,5,5,0
2,53,German,male,5,4,0
2,54,American,female,8,6,0
2,55,Chinese,female,8,0,0
3,1,Chinese,female,8,5,0
3,2,American,male,9,9,0
3,3,African,female,9,7,0
3,4,German,female,7,-8,0
3,5,American,male,7,14,0
3,6,African,female,10,13,0
3,7,American,male,8,-21,0
3,8,American,male,8,11,0
3,9,African,male,9,-14,0
3,10,American,male,8,-3,0
3,11,Indian,male,8,1,0
3,12,Chinese,female,10,11,0
3,13,German,female,9,0,0
3,14,Indian,female,7,-1,0
3,15,African,male,10,-1,0
3,16,American,female,8,6,0
3,17,American,male,9,14,0
3,18,American,female,7,-5,0
3,19,Chinese,female,10,16,0
3,20,American,male,8,3,0
3,21,German,female,4,11,0
3,22,Indian,male,8,4,0
3,23,German,female,5,0,0
3,24,Chinese,female,7,-8,0
3,25,African,female,9,9,0
3,26,Indian,male,7,0,0
3,27,Indian,male,5,-1,0
3,28,American,male,9,12,0
3,29,African,male,9,16,0
3,30,American,female,9,-1,0
3,31,American,male,10,20,0
3,32,African,female,6,8,0
3,33,African,female,9,-6,0
3,34,African,male,7,-3,0
3,35,Indian,female,8,-10,0
3,36,American,female,5,19,0
3,37,American,female,6,15,0
3,38,German,male,6,-7,0
3,39,Chinese,male,8,14,0
3,40,German,female,10,17,0
3,41,Chinese,female,8,2,0
3,42,Chinese,male,10,8,0
3,43,Chinese,male,6,-6,0
3,44,Indian,male,6,1,0
3,45,Chinese,male,9,27,0
3,46,Indian,female,8,-1,0
3,47,German,male,8,5,0
3,48,Chinese,female,10,15,0
3,49,African,female,7,1,0
3,50,African,male,8,7,0
3,51,African,male,9,-12,0
3,52,Indian,male,8,13,0
3,53,German,male,8,7,0
3,54,American,female,9,12,0
3,55,Chinese,female,10,5,0
4,1,Chinese,female,10,3,0
4,2,American,male,11,3,0
4,3,African,female,10,3,0
4,4,German,female,9,0,0
4,5,American,male,8,11,0
4,6,African,female,11,18,0
4,7,American,male,9,-25,0
4,8,American,male,10,14,0
4,9,African,male,12,-6,0
4,10,American,male,11,3,0
4,11,Indian,male,9,8,0
4,12,Chinese,female,13,17,0
4,13,German,female,11,7,0
4,14,Indian,female,8,-2,0
4,15,African,male,13,2,0
4,16,American,female,10,2,0
4,17,American,male,11,9,0
4,18,American,female,9,-3,0
4,19,Chinese,female,13,23,0
4,20,American,male,11,-3,0
4,21,German,female,5,19,0
4,22,Indian,male,10,9,0
4,23,German,female,8,8,0
4,24,Chinese,female,10,-6,0
4,25,African,female,11,8,0
4,26,Indian,male,9,-5,0
4,27,Indian,male,8,-4,0
4,28,American,male,11,9,0
4,29,African,male,12,24,0
4,30,American,female,10,1,0
4,31,American,male,13,28,0
4,32,African,female,7,5,0
4,33,African,female,10,-10,0
4,34,African,male,9,-2,0
4,35,Indian,female,10,-11,0
4,36,American,female,8,15,0
4,37,American,female,8,12,0
4,38,German,male,7,-5,0
4,39,Chinese,male,10,22,0
4,40,German,female,13,23,0
4,41,Chinese,female,9,4,0
4,42,Chinese,male,11,2,0
4,43,Chinese,male,8,-9,0
4,44,Indian,male,9,-5,0
4,45,Chinese,male,11,23,0
4,46,Indian,female,11,-2,0
4,47,German,male,9,0,0
4,48,Chinese,female,12,9,0
4,49,African,female,9,-4,0
4,50,African,male,11,6,0
4,51,African,male,11,-15,0
4,52,Indian,male,9,16,0
4,53,German,male,11,9,0
4,54,American,female,10,10,0
4,55,Chinese,female,13,13,0
5,1,Chinese,female,13,4,0
5,2,American,male,13,-2,0
5,3,African,female,13,10,0
5,4,German,female,11,-2,0
5,5,American,male,10,13,0
5,6,African,female,14,22,0
5,7,American,male,10,-20,0
5,8,American,male,13,13,0
5,9,African,male,14,-3,0
5,10,American,male,13,10,0
5,11,Indian,male,12,6,0
5,12,Chinese,female,14,23,0
5,13,German,female,12,12,0
5,14,Indian,female,10,2,0
5,15,African,male,14,-4,0
5,16,American,female,11,1,0
5,17,American,male,14,7,0
5,18,American,female,11,-9,0
5,19,Chinese,female,14,27,0
5,20,American,male,12,-1,0
5,21,German,female,8,18,0
5,22,Indian,male,13,5,0
5,23,German,female,11,9,0
5,24,Chinese,female,11,-1,0
5,25,African,female,13,2,0
5,26,Indian,male,12,-10,0
5,27,Indian,male,11,-8,0
5,28,American,male,13,14,0
5,29,African,male,15,32,0
5,30,American,female,11,8,0
5,31,American,male,16,36,0
5,32,African,female,9,13,0
5,33,African,female,13,-3,0
5,34,African,male,10,-5,0
5,35,Indian,female,12,-15,0
5,36,American,female,10,14,0
5,37,American,female,9,20,0
5,38,German,male,8,1,0
5,39,Chinese,male,11,24,0
5,40,German,female,16,19,0
5,41,Chinese,female,12,10,0
5,42,Chinese,male,12,6,0
5,43,Chinese,male,9,-4,0
5,44,Indian,male,11,1,0
5,45,Chinese,male,13,28,0
5,46,Indian,female,14,4,0
5,47,German,male,10,-3,0
5,48,Chinese,female,13,17,0
5,49,African,female,12,-1,0
5,50,African,male,14,9,0
5,51,African,male,12,-19,0
5,52,Indian,male,10,18,0
5,53,German,male,12,4,0
5,54,American,female,11,14,0
5,55,Chinese,female,15,16,0
6,1,Chinese,female,14,6,0
6,2,American,male,14,6,0
6,3,African,female,16,12,0
6,4,German,female,12,-5,0
6,5,American,male,13,17,0
6,6,African,female,17,24,0
6,7,American,male,11,-15,0
6,8,American,male,16,14,0
6,9,African,male,15,-7,0
6,10,American,male,15,12,0
6,11,Indian,male,14,11,0
6,12,Chinese,female,15,26,0
6,13,German,female,15,15,0
6,14,Indian,female,11,3,0
6,15,African,male,15,-6,0
6,16,American,female,13,0,0
6,17,American,male,17,2,0
6,18,American,female,12,-14,0
6,19,Chinese,female,17,25,0
6,20,American,male,15,0,0
6,21,German,female,9,24,0
6,22,Indian,male,16,7,0
6,23,German,female,13,12,0
6,24,Chinese,female,12,-3,0
6,25,African,female,14,7,0
6,26,Indian,male,13,-5,0
6,27,Indian,male,12,0,0
6,28,American,male,14,9,0
6,29,African,male,18,35,0
6,30,American,female,14,5,0
6,31,American,male,19,30,0
6,32,African,female,12,12,0
6,33,African,female,15,-2,0
6,34,African,male,11,-6,0
6,35,Indian,female,13,-7,0
6,36,American,female,11,8,0
6,37,American,female,12,14,0
6,38,German,male,10,6,0
6,39,Chinese,male,13,27,0
6,40,German,female,19,15,0
6,41,Chinese,female,13,11,0
6,42,Chinese,male,15,12,0
