Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,American,male,1,6,0
0,2,African,female,3,5,0
0,3,African,female,3,3,0
0,4,American,female,2,-4,1
0,5,American,male,2,6,0
0,6,Indian,female,1,-2,1
0,7,Indian,female,3,-1,0
0,8,Indian,female,2,-4,1
0,9,American,male,2,6,0
0,10,American,male,1,-3,0
0,11,Chinese,female,2,-4,0
0,12,Indian,female,3,-2,0
0,13,German,female,2,6,0
0,14,African,female,2,8,0
0,15,Chinese,female,2,5,0
0,16,Indian,male,1,-2,0
0,17,Indian,male,1,-2,0
0,18,German,male,2,5,0
0,19,Chinese,male,3,3,0
0,20,African,male,2,-3,0
0,21,American,male,2,8,0
0,22,Indian,female,2,-2,0
0,23,African,female,3,7,0
0,24,German,male,2,3,0
0,25,African,male,1,2,0
0,26,Indian,male,2,-3,0
0,27,Indian,male,3,8,0
0,28,Chinese,male,1,-1,0
0,29,Indian,female,3,1,0
0,30,African,male,2,-1,0
0,31,German,female,3,-3,0
0,32,African,male,1,1,0
0,33,Chinese,male,2,6,0
0,34,American,female,1,-3,1
0,35,German,male,3,-1,0
0,36,African,female,3,6,0
0,37,Indian,male,2,-5,0
0,38,American,male,1,-6,0
0,39,African,male,3,-2,0
0,40,African,male,1,-4,0
0,41,African,female,2,2,0
0,42,German,male,3,7,0
0,43,American,female,3,1,0
0,44,American,female,3,3,0
0,45,American,male,3,-1,0
0,46,African,male,3,-5,0
0,47,African,female,2,-1,0
0,48,American,male,2,2,0
0,49,African,female,2,4,0
0,50,Indian,female,2,-5,0
0,51,American,female,2,8,0
0,52,Indian,male,2,-4,0
0,53,Chinese,female,3,-6,0
0,54,Indian,male,2,5,0
0,55,Indian,male,2,4,0
0,56,German,male,3,-5,1
0,57,German,male,3,6,0
0,58,German,female,1,4,0
0,59,Indian,male,1,8,0
0,60,African,male,3,8,0
0,61,Chinese,male,2,-4,0
0,62,German,male,1,-6,0
0,63,Chinese,male,1,2,0
0,64,Indian,male,1,-1,0
0,65,American,female,1,-2,0
0,66,German,female,3,2,0
0,67,American,male,3,-5,1
0,68,Chinese,female,1,4,0
0,69,German,female,1,-6,0
0,70,Indian,female,3,-5,0
0,71,African,female,1,5,0
0,72,American,male,3,1,0
0,73,Chinese,female,1,2,0
0,74,Indian,male,3,-3,1
0,75,German,male,2,-5,0
0,76,Indian,female,1,4,1
0,77,Indian,female,3,-4,0
0,78,American,female,3,-1,0
0,79,Indian,female,3,-4,0
0,80,Indian,male,3,-6,1
0,81,Chinese,female,2,4,0
0,82,Chinese,male,3,1,1
0,83,American,female,3,-1,0
0,84,Indian,female,3,-1,0
0,85,German,male,3,7,0
0,86,American,female,2,2,0
0,87,American,male,3,-6,0
0,88,American,male,2,8,0
0,89,German,male,1,-2,0
0,90,Indian,male,3,6,0
0,91,African,female,1,5,0
0,92,American,female,2,-1,0
0,93,Chinese,male,2,-4,1
0,94,Chinese,female,2,-5,0
0,95,Indian,female,3,1,0
0,96,German,female,1,2,0
0,97,African,female,2,8,0
0,98,African,male,2,6,0
0,99,German,male,1,-3,1
0,100,Chinese,male,2,7,0
0,101,American,male,3,-3,1
0,102,African,female,2,2,0
0,103,Chinese,male,3,4,0
0,104,African,female,1,6,0
0,105,German,male,1,-6,0
0,106,American,male,2,-4,0
0,107,Chinese,female,2,-3,0
0,108,African,female,1,8,0
0,109,Indian,female,1,5,0
0,110,Chinese,male,2,-2,1
0,111,Chinese,female,3,2,0
0,112,Chinese,male,3,5,1
0,113,American,female,2,-2,0
0,114,German,female,3,8,0
0,115,African,male,1,6,0
0,116,Chinese,female,2,4,0
0,117,Chinese,female,3,5,0
0,118,German,female,1,3,0
0,119,African,female,3,-3,0
0,120,African,female,3,6,0
0,121,German,male,2,-1,0
0,122,Indian,male,3,8,0
0,123,Chinese,female,1,4,0
0,124,Chinese,female,3,-6,0
0,125,Chinese,male,3,1,0
0,126,African,male,1,7,0
0,127,American,male,2,-2,0
0,128,American,male,1,6,0
0,129,Indian,male,1,-2,0
0,130,Chinese,female,3,-2,0
0,131,Indian,female,2,8,0
0,132,Indian,female,2,-2,0
0,133,American,female,1,-6,0
0,134,Chinese,male,2,4,0
0,135,Indian,female,2,1,0
0,136,African,female,2,5,0
0,137,American,female,2,7,0
0,138,African,male,3,7,0
0,139,Indian,male,3,6,1
0,140,Indian,male,3,-5,0
0,141,African,female,1,4,0
0,142,African,female,3,-3,0
0,143,American,female,3,-5,0
0,144,African,female,3,-3,1
0,145,German,male,3,3,0
0,146,German,female,2,8,0
0,147,German,male,3,-5,0
0,148,Chinese,female,2,4,0
0,149,American,female,1,5,1
0,150,American,male,2,-4,0
1,1,American,male,3,4,0
1,2,African,female,4,3,0
1,3,African,female,4,-1,0
1,4,American,female,4,4,1
1,5,American,male,4,7,0
1,6,Indian,female,4,2,1
1,7,Indian,female,4,7,0
1,8,Indian,female,4,-6,1
1,9,American,male,3,7,0
1,10,American,male,2,0,0
1,11,Chinese,female,5,2,0
1,12,Indian,female,4,-11,0
1,13,German,female,5,12,0
1,14,African,female,4,6,0
1,15,Chinese,female,5,10,0
1,16,Indian,male,2,4,0
1,17,Indian,male,3,-7,0
1,18,German,male,5,10,0
1,19,Chinese,male,4,11,0
1,20,African,male,4,2,0
1,21,American,male,3,10,0
1,22,Indian,female,3,-5,0
1,23,African,female,6,10,0
1,24,German,male,5,-1,0
1,25,African,male,2,4,0
1,26,Indian,male,5,2,0
1,27,Indian,male,6,13,0
1,28,Chinese,male,4,-6,0
1,29,Indian,female,6,-1,0
1,30,African,male,5,5,0
1,31,German,female,5,-6,0
1,32,African,male,3,3,0
1,33,Chinese,male,3,0,0
1,34,American,female,4,-6,1
1,35,German,male,6,-2,0
1,36,African,female,6,0,0
1,37,Indian,male,5,-1,0
1,38,American,male,4,-3,0
1,39,African,male,4,-3,0
1,40,African,male,3,-2,0
1,41,African,female,5,4,0
1,42,German,male,6,2,0
1,43,American,female,6,6,0
1,44,American,female,5,5,0
1,45,American,male,4,-5,0
1,46,African,male,5,2,0
1,47,African,female,5,-7,0
1,48,American,male,4,8,0
1,49,African,female,4,3,0
1,50,Indian,female,4,-10,0
1,51,American,female,4,12,0
1,52,Indian,male,5,0,0
1,53,Chinese,female,4,1,0
1,54,Indian,male,4,8,0
1,55,Indian,male,5,8,0
1,56,German,male,4,-3,1
1,57,German,male,5,13,0
1,58,German,female,4,11,0
1,59,Indian,male,3,7,0
1,60,African,male,5,15,0
1,61,Chinese,male,4,-8,0
1,62,German,male,3,-12,0
1,63,Chinese,male,4,9,0
1,64,Indian,male,2,-7,0
1,65,American,female,4,4,0
1,66,German,female,4,10,0
1,67,American,male,5,-7,1
1,68,Chinese,female,2,9,0
1,69,German,female,3,0,0
1,70,Indian,female,4,-7,0
1,71,African,female,3,11,0
1,72,American,male,4,9,0
1,73,Chinese,female,3,9,0
1,74,Indian,male,5,0,1
1,75,German,male,4,2,0
1,76,Indian,female,3,-2,1
1,77,Indian,female,6,3,0
1,78,American,female,4,0,0
1,79,Indian,female,4,-7,0
1,80,Indian,male,6,-10,1
1,81,Chinese,female,4,-2,0
1,82,Chinese,male,5,7,1
1,83,American,female,4,1,0
1,84,Indian,female,6,4,0
1,85,German,male,6,9,0
1,86,American,female,5,-4,0
1,87,American,male,4,-8,0
1,88,American,male,5,15,0
1,89,German,male,2,3,0
1,90,Indian,male,6,9,0
1,91,African,female,3,9,0
1,92,American,female,4,-7,0
1,93,Chinese,male,4,-5,1
1,94,Chinese,female,4,-9,0
1,95,Indian,female,6,5,0
1,96,German,female,3,10,0
1,97,African,female,3,9,0
1,98,African,male,3,9,0
1,99,German,male,3,-9,1
1,100,Chinese,male,3,1,0
1,101,American,male,5,-8,1
1,102,African,female,5,8,0
1,103,Chinese,male,6,1,0
1,104,African,female,4,10,0
1,105,German,male,3,-8,0
1,106,American,male,4,-1,0
1,107,Chinese,female,3,5,0
1,108,African,female,4,6,0
1,109,Indian,female,3,12,0
1,110,Chinese,male,3,3,1
1,111,Chinese,female,4,5,0
1,112,Chinese,male,6,8,1
1,113,American,female,5,2,0
1,114,German,female,5,2,0
1,115,African,male,3,8,0
1,116,Chinese,female,5,-1,0
1,117,Chinese,female,4,4,0
1,118,German,female,4,8,0
1,119,African,female,5,-2,0
1,120,African,female,4,11,0
1,121,German,male,3,-7,0
1,122,Indian,male,4,14,0
1,123,Chinese,female,4,10,0
1,124,Chinese,female,6,-9,0
1,125,Chinese,male,6,3,0
1,126,African,male,3,15,0
1,127,American,male,4,6,0
1,128,American,male,3,4,0
1,129,Indian,male,3,-5,0
1,130,Chinese,female,6,-6,0
1,131,Indian,female,5,14,0
1,132,Indian,female,3,0,0
1,133,American,female,3,-3,0
1,134,Chinese,male,3,-2,0
1,135,Indian,female,4,-3,0
1,136,African,female,4,6,0
1,137,American,female,3,4,0
1,138,African,male,4,11,0
1,139,Indian,male,6,8,1
1,140,Indian,male,4,-2,0
1,141,African,female,2,0,0
1,142,African,female,4,5,0
1,143,American,female,5,1,0
1,144,African,female,5,-5,1
1,145,German,male,5,-3,0
1,146,German,female,5,6,0
1,147,German,male,5,-6,0
1,148,Chinese,female,4,7,0
1,149,American,female,2,13,1
1,150,American,male,5,-6,0
2,1,American,male,6,5,0
2,2,African,female,5,4,0
2,3,African,female,7,6,0
2,4,American,female,6,2,1
2,5,American,male,6,5,0
2,6,Indian,female,6,-4,1
2,7,Indian,female,7,6,0
2,8,Indian,female,6,-12,1
2,9,American,male,6,2,0
2,10,American,male,4,4,0
2,11,Chinese,female,8,5,0
2,12,Indian,female,7,-15,0
2,13,German,female,7,17,0
2,14,African,female,5,11,0
2,15,Chinese,female,7,12,0
2,16,Indian,male,3,1,0
2,17,Indian,male,6,-1,0
2,18,German,male,8,13,0
2,19,Chinese,male,5,13,0
2,20,African,male,5,0,0
2,21,American,male,4,9,0
2,22,Indian,female,4,2,0
2,23,African,female,7,12,0
2,24,German,male,6,7,0
2,25,African,male,5,-2,0
2,26,Indian,male,8,0,0
2,27,Indian,male,9,8,0
2,28,Chinese,male,5,-8,0
2,29,Indian,female,9,-6,0
2,30,African,male,8,1,0
2,31,German,female,7,-2,0
2,32,African,male,6,-2,0
2,33,Chinese,male,5,4,0
2,34,American,female,5,1,1
2,35,German,male,9,1,0
2,36,African,female,9,-1,0
2,37,Indian,male,6,4,0
2,38,American,male,7,2,0
2,39,African,male,6,3,0
2,40,African,male,4,-7,0
2,41,African,female,6,3,0
2,42,German,male,7,6,0
2,43,American,female,7,0,0
2,44,American,female,7,8,0
