Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,Chinese,female,1,-2,0
0,2,American,male,2,8,0
0,3,African,female,1,7,0
0,4,German,female,1,-1,1
0,5,Chinese,male,3,-1,0
0,6,American,male,2,-4,1
0,7,Indian,female,2,-6,0
0,8,African,male,3,3,1
0,9,German,male,3,1,0
0,10,Chinese,male,3,2,0
0,11,African,male,1,7,0
0,12,German,male,1,-4,0
0,13,American,male,3,6,0
0,14,Indian,female,1,-5,0
0,15,Indian,female,1,-2,0
0,16,American,male,1,1,0
0,17,German,female,3,-3,0
0,18,Indian,female,1,-5,0
0,19,Indian,female,1,4,0
0,20,African,female,1,2,0
0,21,German,male,2,2,0
0,22,Chinese,male,3,5,0
0,23,American,female,3,7,0
0,24,African,female,2,-1,0
0,25,German,male,1,8,0
0,26,Indian,male,2,4,0
0,27,Indian,male,1,6,0
0,28,Indian,male,1,-4,0
0,29,Chinese,female,2,7,0
0,30,Chinese,female,3,3,0
0,31,Chinese,female,3,3,0
0,32,Chinese,female,2,3,0
0,33,American,female,2,5,0
0,34,German,male,2,1,1
0,35,Chinese,female,3,6,0
0,36,Indian,female,1,3,0
0,37,African,male,2,-6,0
0,38,Chinese,female,1,6,0
0,39,American,male,3,4,0
0,40,African,male,2,-2,0
0,41,American,male,2,-2,0
0,42,Chinese,female,3,2,0
0,43,American,male,3,-6,0
0,44,American,male,2,-1,0
0,45,African,female,3,3,0
0,46,African,female,1,-4,0
0,47,German,female,1,6,0
0,48,African,male,3,-4,0
0,49,Indian,female,3,-1,0
0,50,Chinese,female,2,5,0
0,51,American,female,2,4,0
0,52,Indian,female,3,-5,0
0,53,German,female,1,-5,0
0,54,Chinese,female,3,5,0
0,55,German,male,1,4,0
0,56,German,female,2,2,1
0,57,African,male,3,2,0
0,58,African,male,2,-4,0
0,59,American,male,3,8,0
0,60,American,male,2,2,0
0,61,Chinese,female,2,-4,0
0,62,African,female,3,-4,0
0,63,Indian,female,2,-4,0
0,64,German,male,1,4,0
0,65,Indian,male,2,-4,0
0,66,German,female,1,-3,0
0,67,Indian,female,2,2,1
0,68,Indian,female,3,-4,0
0,69,Chinese,female,2,-4,0
0,70,German,female,1,3,0
0,71,German,male,3,-1,0
0,72,Indian,female,2,-1,0
0,73,Chinese,female,1,-2,0
0,74,Indian,male,1,3,1
0,75,German,female,1,5,0
0,76,American,female,3,-5,1
0,77,Indian,female,2,5,0
0,78,Indian,male,2,1,0
0,79,German,female,2,-6,0
0,80,German,female,2,6,1
0,81,African,male,3,-6,0
0,82,Indian,female,2,8,1
0,83,African,female,1,-6,0
0,84,Chinese,female,1,7,0
0,85,Indian,female,3,8,0
0,86,German,male,1,4,0
0,87,American,male,1,-2,0
0,88,American,female,2,-2,0
0,89,Chinese,male,2,8,0
0,90,African,female,3,1,0
0,91,Chinese,male,2,-5,0
0,92,American,male,1,-4,0
0,93,Chinese,male,2,2,1
0,94,American,male,2,4,0
0,95,Indian,male,3,-3,0
0,96,Chinese,male,3,8,0
0,97,American,female,1,-1,0
0,98,Indian,male,1,2,0
0,99,Chinese,female,1,6,1
0,100,American,female,3,5,0
0,101,American,female,1,1,1
0,102,American,male,3,4,0
0,103,German,male,3,6,0
0,104,Chinese,female,2,-1,0
0,105,African,female,2,2,0
0,106,American,male,1,-1,0
0,107,Chinese,female,3,-5,0
0,108,Indian,male,2,-5,0
0,109,African,female,2,3,0
0,110,African,female,3,7,1
0,111,African,male,1,-1,0
0,112,German,female,1,-5,1
0,113,Indian,male,2,-1,0
0,114,African,male,3,8,0
0,115,Indian,male,3,5,0
0,116,German,female,3,-2,0
0,117,African,female,3,7,0
0,118,American,male,3,6,0
0,119,German,male,3,7,0
0,120,Indian,female,1,-2,0
0,121,American,male,3,8,0
0,122,Chinese,female,2,4,0
0,123,African,female,3,-1,0
0,124,Indian,female,2,-6,0
0,125,African,male,2,-6,0
0,126,German,female,2,3,0
0,127,American,female,1,-5,0
0,128,Indian,male,1,8,0
0,129,Indian,female,1,5,0
0,130,American,female,3,-5,0
0,131,Chinese,male,1,2,0
0,132,American,female,3,7,0
0,133,African,male,1,7,0
0,134,German,male,2,6,0
0,135,Indian,male,3,2,0
0,136,African,female,3,8,0
0,137,American,female,3,-1,0
0,138,American,male,1,1,0
0,139,American,female,3,1,1
0,140,African,male,3,-5,0
0,141,Chinese,female,2,-6,0
0,142,Chinese,female,3,-3,0
0,143,German,male,3,-4,0
0,144,Indian,female,2,-1,1
0,145,German,male,2,-5,0
0,146,German,female,1,6,0
0,147,German,male,2,-1,0
0,148,German,female,1,-3,0
0,149,Chinese,male,1,3,1
0,150,Chinese,male,2,-3,0
1,1,Chinese,female,4,2,0
1,2,American,male,5,9,0
1,3,African,female,3,8,0
1,4,German,female,3,-2,1
1,5,Chinese,male,4,-2,0
1,6,American,male,4,0,1
1,7,Indian,female,3,-2,0
1,8,African,male,5,1,1
1,9,German,male,5,0,0
1,10,Chinese,male,6,5,0
1,11,African,male,3,8,0
1,12,German,male,4,4,0
1,13,American,male,6,13,0
1,14,Indian,female,3,-6,0
1,15,Indian,female,3,-7,0
1,16,American,male,2,-2,0
1,17,German,female,5,5,0
1,18,Indian,female,3,-3,0
1,19,Indian,female,2,5,0
1,20,African,female,3,10,0
1,21,German,male,4,-4,0
1,22,Chinese,male,5,8,0
1,23,American,female,4,9,0
1,24,African,female,3,-7,0
1,25,German,male,4,7,0
1,26,Indian,male,5,10,0
1,27,Indian,male,3,11,0
1,28,Indian,male,3,1,0
1,29,Chinese,female,3,10,0
1,30,Chinese,female,6,5,0
1,31,Chinese,female,6,7,0
1,32,Chinese,female,3,-2,0
1,33,American,female,4,4,0
1,34,German,male,5,3,1
1,35,Chinese,female,5,8,0
1,36,Indian,female,2,-3,0
1,37,African,male,5,-10,0
1,38,Chinese,female,2,11,0
1,39,American,male,6,5,0
1,40,African,male,5,1,0
1,41,American,male,3,-8,0
1,42,Chinese,female,5,10,0
1,43,American,male,4,-11,0
1,44,American,male,4,3,0
1,45,African,female,4,5,0
1,46,African,female,2,0,0
1,47,German,female,4,7,0
1,48,African,male,6,2,0
1,49,Indian,female,6,-6,0
1,50,Chinese,female,4,0,0
1,51,American,female,5,3,0
1,52,Indian,female,5,3,0
1,53,German,female,2,1,0
1,54,Chinese,female,6,12,0
1,55,German,male,3,2,0
1,56,German,female,5,1,1
1,57,African,male,5,-3,0
1,58,African,male,3,2,0
1,59,American,male,5,4,0
1,60,American,male,3,-1,0
1,61,Chinese,female,5,-7,0
1,62,African,female,4,-3,0
1,63,Indian,female,5,-8,0
1,64,German,male,2,6,0
1,65,Indian,male,3,4,0
1,66,German,female,3,-6,0
1,67,Indian,female,3,0,1
1,68,Indian,female,6,3,0
1,69,Chinese,female,4,0,0
1,70,German,female,2,11,0
1,71,German,male,5,-3,0
1,72,Indian,female,4,3,0
1,73,Chinese,female,4,1,0
1,74,Indian,male,2,2,1
1,75,German,female,2,2,0
1,76,American,female,4,-6,1
1,77,Indian,female,4,10,0
1,78,Indian,male,5,-1,0
1,79,German,female,3,-4,0
1,80,German,female,5,0,1
1,81,African,male,4,1,0
1,82,Indian,female,5,4,1
1,83,African,female,3,-8,0
1,84,Chinese,female,4,11,0
1,85,Indian,female,4,4,0
1,86,German,male,4,-2,0
1,87,American,male,2,1,0
1,88,American,female,5,2,0
1,89,Chinese,male,3,13,0
1,90,African,female,4,8,0
1,91,Chinese,male,3,-4,0
1,92,American,male,4,4,0
1,93,Chinese,male,3,5,1
1,94,American,male,4,11,0
1,95,Indian,male,6,2,0
1,96,Chinese,male,5,9,0
1,97,American,female,4,3,0
1,98,Indian,male,4,-2,0
1,99,Chinese,female,3,4,1
1,100,American,female,6,11,0
1,101,American,female,3,6,1
1,102,American,male,6,12,0
1,103,German,male,4,9,0
1,104,Chinese,female,4,6,0
1,105,African,female,4,-1,0
1,106,American,male,3,3,0
1,107,Chinese,female,6,-9,0
1,108,Indian,male,4,-10,0
1,109,African,female,3,9,0
1,110,African,female,5,14,1
1,111,African,male,4,6,0
1,112,German,female,3,-2,1
1,113,Indian,male,4,0,0
1,114,African,male,4,3,0
1,115,Indian,male,4,10,0
1,116,German,female,6,1,0
1,117,African,female,5,9,0
1,118,American,male,5,3,0
1,119,German,male,5,14,0
1,120,Indian,female,3,5,0
1,121,American,male,6,15,0
1,122,Chinese,female,5,3,0
1,123,African,female,6,-6,0
1,124,Indian,female,3,-2,0
1,125,African,male,3,2,0
1,126,German,female,3,8,0
1,127,American,female,3,1,0
1,128,Indian,male,3,11,0
1,129,Indian,female,2,13,0
1,130,American,female,5,-9,0
1,131,Chinese,male,3,7,0
1,132,American,female,5,8,0
1,133,African,male,2,15,0
1,134,German,male,4,14,0
1,135,Indian,male,5,-3,0
1,136,African,female,4,7,0
1,137,American,female,5,-7,0
1,138,American,male,3,-1,0
1,139,American,female,5,-3,1
1,140,African,male,4,-9,0
1,141,Chinese,female,5,-11,0
1,142,Chinese,female,5,4,0
1,143,German,male,5,-6,0
1,144,Indian,female,4,-7,1
1,145,German,male,3,-8,0
1,146,German,female,3,9,0
1,147,German,male,3,-2,0
1,148,German,female,2,-6,0
1,149,Chinese,male,2,7,1
1,150,Chinese,male,3,0,0
2,1,Chinese,female,7,-1,0
2,2,American,male,6,13,0
2,3,African,female,6,4,0
2,4,German,female,5,-4,1
2,5,Chinese,male,6,-1,0
2,6,American,male,7,-6,1
2,7,Indian,female,5,-7,0
2,8,African,male,6,-2,1
2,9,German,male,6,5,0
2,10,Chinese,male,7,7,0
2,11,African,male,4,13,0
2,12,German,male,6,8,0
2,13,American,male,9,21,0
2,14,Indian,female,4,0,0
2,15,Indian,female,5,-3,0
2,16,American,male,4,0,0
2,17,German,female,6,11,0
2,18,Indian,female,5,-5,0
2,19,Indian,female,3,-1,0
2,20,African,female,6,7,0
2,21,German,male,5,-3,0
2,22,Chinese,male,6,11,0
2,23,American,female,6,7,0
2,24,African,female,5,-3,0
2,25,German,male,5,2,0
2,26,Indian,male,8,14,0
2,27,Indian,male,5,5,0
2,28,Indian,male,5,9,0
2,29,Chinese,female,5,8,0
2,30,Chinese,female,9,7,0
2,31,Chinese,female,8,10,0
2,32,Chinese,female,6,0,0
2,33,American,female,7,9,0
2,34,German,male,8,9,1
2,35,Chinese,female,8,6,0
2,36,Indian,female,3,-9,0
2,37,African,male,6,-5,0
2,38,Chinese,female,4,16,0
2,39,American,male,9,8,0
2,40,African,male,7,9,0
2,41,American,male,4,-13,0
2,42,Chinese,female,7,18,0
2,43,American,male,6,-10,0
2,44,American,male,7,2,0
2,45,African,female,5,11,0
2,46,African,female,5,5,0
2,47,German,female,6,14,0
2,48,African,male,7,9,0
2,49,Indian,female,8,-7,0
2,50,Chinese,female,6,6,0
2,51,American,female,6,9,0
2,52,Indian,female,7,6,0
2,53,German,female,5,-3,0
2,54,Chinese,female,7,11,0
2,55,German,male,6,8,0
2,56,German,female,7,-2,1
2,57,African,male,8,3,0
2,58,African,male,6,1,0
2,59,American,male,6,12,0
2,60,American,male,5,2,0
2,61,Chinese,female,6,-12,0
2,62,African,female,7,-4,0
2,63,Indian,female,6,-12,0
2,64,German,male,4,7,0
2,65,Indian,male,4,8,0
2,66,German,female,4,-8,0
2,67,Indian,female,6,8,1
