Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,Chinese,female,1,-2,1
0,2,American,female,3,7,0
0,3,American,male,3,6,1
0,4,Chinese,male,3,-3,0
0,5,Chinese,male,2,5,1
0,6,German,female,3,-6,0
1,1,Chinese,female,4,2,1
1,2,American,female,6,9,0
1,3,American,male,5,2,1
1,4,Chinese,male,5,-2,0
1,5,Chinese,male,4,6,1
1,6,German,female,6,-2,0
2,1,Chinese,female,7,-1,1
2,2,American,female,8,12,0
2,3,American,male,6,10,1
2,4,Chinese,male,8,5,0
2,5,Chinese,male,5,13,1
2,6,German,female,8,4,0
3,1,Chinese,female,8,5,1
3,2,American,female,10,10,0
3,3,American,male,9,5,1
3,4,Chinese,male,11,7,0
3,5,Chinese,male,6,7,1
3,6,German,female,9,-1,0
4,1,Chinese,female,10,3,1
4,2,American,female,13,15,0
4,3,American,male,11,-1,1
4,4,Chinese,male,14,8,0
4,5,Chinese,male,7,3,1
4,6,German,female,10,-5,0
5,1,Chinese,female,13,4,1
5,2,American,female,16,9,0
5,3,American,male,12,4,1
5,4,Chinese,male,15,5,0
5,5,Chinese,male,10,-2,1
5,6,German,female,12,-6,0
6,1,Chinese,female,14,6,1
6,2,American,female,19,17,0
6,3,American,male,15,3,1
6,4,Chinese,male,18,-1,0
6,5,Chinese,male,12,0,1
6,6,German,female,14,0,0
7,1,Chinese,female,17,2,1
7,2,American,female,20,20,0
7,3,American,male,16,-1,1
7,4,Chinese,male,19,-3,0
7,5,Chinese,male,13,-5,1
7,6,German,female,17,3,0
8,1,Chinese,female,17,4,1
8,2,American,female,21,23,0
8,3,American,male,19,4,1
8,4,Chinese,male,21,3,0
8,5,Chinese,male,16,-11,1
8,6,German,female,18,0,0
9,1,Chinese,female,17,6,1
9,2,American,female,23,21,0
9,3,American,male,21,12,1
9,4,Chinese,male,23,10,0
9,5,Chinese,male,17,-7,1
9,6,German,female,21,7,0
10,1,Chinese,female,17,8,1
10,2,American,female,26,27,0
10,3,American,male,23,7,1
10,4,Chinese,male,26,13,0
10,5,Chinese,male,18,-12,1
10,6,German,female,23,6,0
11,1,Chinese,female,17,10,1
11,2,American,female,27,21,0
11,3,American,male,26,12,1
11,4,Chinese,male,27,21,0
11,5,Chinese,male,21,-5,1
11,6,German,female,25,2,0
12,1,Chinese,female,22.0,12.1,1
12,2,American,female,30,23,0
12,3,American,male,29,13,1
12,4,Chinese,male,28,18,0
12,5,Chinese,male,24,-11,1
12,6,German,female,26,8,0
13,1,Chinese,female,27.0,14.2,1
13,2,American,female,33,31,0
13,3,American,male,32,15,1
13,4,Chinese,male,31,20,0
