Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,African,female,2,2,1
0,2,Indian,female,3,6,1
0,3,American,female,1,-5,1
0,4,American,female,1,0,0
0,5,Chinese,male,1,-5,0
0,6,Indian,female,3,7,0
1,1,African,female,5,7,1
1,2,Indian,female,6,12,1
1,3,American,female,4,-6,1
1,4,American,female,3,-7,0
1,5,Chinese,male,4,0,0
1,6,Indian,female,5,4,0
2,1,African,female,6,10,1
2,2,Indian,female,8,18,1
2,3,American,female,5,-8,1
2,4,American,female,5,-10,0
2,5,Chinese,male,7,8,0
2,6,Indian,female,7,-2,0
3,1,African,female,7,9,1
3,2,Indian,female,9,16,1
3,3,American,female,7,-12,1
3,4,American,female,6,-19,0
3,5,Chinese,male,10,16,0
3,6,Indian,female,10,-6,0
4,1,African,female,10,7,1
4,2,Indian,female,11,19,1
4,3,American,female,9,-14,1
4,4,American,female,7,-22,0
4,5,Chinese,male,11,15,0
4,6,Indian,female,12,0,0
5,1,African,female,13,15,1
5,2,Indian,female,12,27,1
5,3,American,female,11,-20,1
5,4,American,female,10,-27,0
5,5,Chinese,male,12,11,0
5,6,Indian,female,14,-2,0
6,1,African,female,16,14,1
6,2,Indian,female,14,21,1
6,3,American,female,14,-24,1
6,4,American,female,13,-35,0
6,5,Chinese,male,13,7,0
6,6,Indian,female,17,-3,0
7,1,African,female,17,19,1
7,2,Indian,female,16,15,1
7,3,American,female,16,-20,1
7,4,American,female,14,-45,0
7,5,Chinese,male,15,10,0
7,6,Indian,female,18,-1,0
8,1,African,female,18,14,1
8,2,Indian,female,17,11,1
8,3,American,female,16,-18,1
8,4,American,female,16,-53,0
8,5,Chinese,male,17,14,0
8,6,Indian,female,20,1,0
9,1,African,female,20,10,1
9,2,Indian,female,18,7,1
9,3,American,female,16,-16,1
9,4,American,female,18,-55,0
9,5,Chinese,male,20,13,0
9,6,Indian,female,21,3,0
10,1,African,female,21,6,1
10,2,Indian,female,19,12,1
10,3,American,female,16,-14,1
10,4,American,female,19,-61,0
10,5,Chinese,male,21,20,0
10,6,Indian,female,24,11,0
11,1,African,female,23,7,1
11,2,Indian,female,20,17,1
11,3,American,female,16,-12,1
11,4,American,female,20,-65,0
11,5,Chinese,male,24,26,0
11,6,Indian,female,25,8,0
12,1,African,female,26,9,1
12,2,Indian,female,23,25,1
12,3,American,female,16,-10,1
12,4,American,female,22,-74,0
12,5,Chinese,male,26,28,0
12,6,Indian,female,27,9,0
13,1,African,female,29,4,1
13,2,Indian,female,24,26,1
13,3,American,female,16,-8,1
13,4,American,female,24,-81,0
13,5,Chinese,male,29,31,0
13,6,Indian,female,28,14,0
14,1,African,female,32,0,1
14,2,Indian,female,26,20,1
14,3,American,female,16,-6,1
14,4,American,female,27,-85,0
14,5,Chinese,male,32,37,0
14,6,Indian,female,30,15,0
15,1,African,female,35,4,1
15,2,Indian,female,29,24,1
15,3,American,female,16,-4,1
15,4,American,female,28,-89,0
15,5,Chinese,male,34,36,0
15,6,Indian,female,32,17,0
16,1,African,female,36,9,1
16,2,Indian,female,31,28,1
16,3,American,female,16,-2,1
16,4,American,female,30,-97,0
16,5,Chinese,male,35,38,0
16,6,Indian,female,34,11,0
17,1,African,female,39,4,1
17,2,Indian,female,34,34,1
17,3,American,female,16,0,1
17,4,American,female,32,-103,0
17,5,Chinese,male,37,34,0
17,6,Indian,female,35,19,0
18,1,African,female,41,10,1
18,2,Indian,female,37,32,1
18,3,American,female,16,2,1
18,4,American,female,34,-113,0
18,5,Chinese,male,39,29,0
18,6,Indian,female,37,17,0
19,1,African,female,43,9,1
19,2,Indian,female,38,26,1
19,3,American,female,16,4,1
19,4,American,female,35,-115,0
19,5,Chinese,male,40,31,0
19,6,Indian,female,40,14,0
20,1,African,female,43,11,1
20,2,Indian,female,41,27,1
20,3,American,female,16,6,1
20,4,American,female,38,-122,0
20,5,Chinese,male,42,35,0
20,6,Indian,female,41,13,0
21,1,African,female,43,13,1
21,2,Indian,female,44,35,1
21,3,American,female,16,8,1
21,4,American,female,41,-124,0
21,5,Chinese,male,43,34,0
21,6,Indian,female,44,17,0
22,1,African,female,43,15,1
22,2,Indian,female,47,34,1
22,3,American,female,16,10,1
22,4,American,female,43,-134,0
22,5,Chinese,male,45,37,0
22,6,Indian,female,47,20,0
23,1,African,female,43,17,1
23,2,Indian,female,50,29,1
23,3,American,female,16,12,1
23,4,American,female,44,-136,0
23,5,Chinese,male,47,44,0
23,6,Indian,female,48,14,0
24,1,African,female,43,19,1
24,2,Indian,female,52,31,1
24,3,American,female,16,14,1
24,4,American,female,46,-132,0
24,5,Chinese,male,49,46,0
24,6,Indian,female,49,16,0
25,1,African,female,43,21,1
25,2,Indian,female,54,39,1
25,3,American,female,16,16,1
25,4,American,female,48,-129,0
25,5,Chinese,male,51,45,0
25,6,Indian,female,51,18,0
26,1,African,female,43,23,1
26,2,Indian,female,55,45,1
26,3,American,female,16,18,1
26,4,American,female,49,-120,0
26,5,Chinese,male,54,50,0
26,6,Indian,female,54,21,0
27,1,African,female,43,25,1
27,2,Indian,female,56,41,1
27,3,American,female,16,20,1
27,4,American,female,52,-116,0
27,5,Chinese,male,57,56,0
27,6,Indian,female,55,27,0
28,1,African,female,43,27,1
28,2,Indian,female,57,38,1
28,3,American,female,16,22,1
28,4,American,female,55,-115,0
28,5,Chinese,male,58,61,0
28,6,Indian,female,57,23,0
29,1,African,female,43,29,1
29,2,Indian,female,60,43,1
29,3,American,female,16,24,1
29,4,American,female,58,-110,0
29,5,Chinese,male,59,66,0
29,6,Indian,female,60,29,0
30,1,African,female,43,31,1
30,2,Indian,female,61,47,1
30,3,American,female,16,26,1
30,4,American,female,60,-101,0
30,5,Chinese,male,60.0,75.9498743710662,1
30,5,Chinese,male,64.9,89.5624701591323,1
30,5,Chinese,male,69.8,97.03804117530615,1
30,5,Chinese,male,74.7,102.38007696528418,1
30,5,Chinese,male,79.6,106.44304637388237,1
30,5,Chinese,male,84.5,109.58612164439502,1
30,5,Chinese,male,89.4,111.99826083668816,1
30,5,Chinese,male,94.30000000000001,113.79027097642364,1
30,5,Chinese,male,99.2,115.03019477832002,1
30,5,Chinese,male,104.1,115.75932073491357,1
30,5,Chinese,male,109.0,116.0,1
30,5,Chinese,male,113.9,115.75932073491357,1
30,5,Chinese,male,118.80000000000001,115.03019477832001,1
30,5,Chinese,male,123.7,113.79027097642364,1
30,5,Chinese,male,128.60000000000002,111.99826083668816,1
30,5,Chinese,male,133.5,109.58612164439502,1
30,5,Chinese,male,138.4,106.44304637388237,1
30,5,Chinese,male,143.3,102.38007696528416,1
30,5,Chinese,male,148.2,97.03804117530616,1
30,5,Chinese,male,153.10000000000002,89.56247015913226,1
30,5,Chinese,male,158.0,75.9498743710662,1
30,6,Indian,female,63,32,0
31,1,African,female,43,33,1
31,2,Indian,female,64,44,1
31,3,American,female,17,23,1
31,4,American,female,62,-96,0
31,6,Indian,female,65,26,0
32,1,African,female,43,35,1
32,2,Indian,female,65,52,1
32,3,American,female,19,25,1
32,4,American,female,63,-86,0
32,6,Indian,female,67,24,0
33,1,African,female,43,37,1
33,2,Indian,female,67,56,1
33,3,American,female,20,19,1
33,4,American,female,65,-77,0
33,6,Indian,female,69,21,0
34,1,African,female,43,39,1
34,2,Indian,female,69,61,1
34,3,American,female,22,13,1
34,4,American,female,66,-71,0
34,6,Indian,female,70,17,0
35,1,African,female,43,41,1
35,2,Indian,female,71,56,1
35,3,American,female,23,14,1
35,4,American,female,69,-63,0
35,6,Indian,female,71,11,0
36,1,African,female,43,43,1
36,2,Indian,female,73,55,1
36,3,American,female,24,16,1
36,4,American,female,71,-55,0
36,6,Indian,female,74,19,0
37,1,African,female,43,45,1
37,2,Indian,female,76,59,1
37,3,American,female,26,18,1
37,4,American,female,73,-46,0
37,6,Indian,female,76,16,0
38,1,African,female,43,47,1
38,2,Indian,female,79,58,1
38,3,American,female,29,23,1
38,4,American,female,76,-38,0
38,6,Indian,female,79,13,0
39,1,African,female,43,49,1
39,2,Indian,female,80,64,1
39,3,American,female,31,19,1
39,4,American,female,78,-32,0
39,6,Indian,female,81,8,0
40,1,African,female,43,51,1
40,2,Indian,female,81,66,1
40,3,American,female,34,20,1
40,4,American,female,80,-30,0
40,6,Indian,female,83,5,0
41,1,African,female,46,48,1
41,2,Indian,female,83,73,1
41,3,American,female,37,22,1
41,4,American,female,82,-21,0
41,6,Indian,female,84,0,0
42,1,African,female,49,45,1
42,2,Indian,female,85,76,1
42,3,American,female,38,28,1
42,4,American,female,84,-17,0
42,6,Indian,female,87,7,0
43,1,African,female,52,43,1
43,2,Indian,female,88,74,1
43,3,American,female,39,24,1
43,4,American,female,85,-10,0
43,6,Indian,female,88,13,0
44,1,African,female,54,48,1
44,2,Indian,female,91,79,1
44,3,American,female,41,20,1
44,4,American,female,87,-2,0
44,6,Indian,female,91,17,0
45,1,African,female,55,54,1
45,2,Indian,female,93,80,1
45,3,American,female,42,16,1
45,4,American,female,88,4,0
45,6,Indian,female,94,24,0
46,1,African,female,56,55,1
46,2,Indian,female,95,86,1
46,3,American,female,44,11,1
46,4,American,female,89,5,0
46,6,Indian,female,97,26,0
47,1,African,female,59,60,1
47,2,Indian,female,96,83,1
47,3,American,female,47,12,1
47,4,American,female,91,12,0
47,6,Indian,female,100,34,0
48,1,African,female,62,61,1
48,2,Indian,female,97,89,1
48,3,American,female,49,20,1
48,4,American,female,92,21,0
48,6,Indian,female,101,39,0
49,1,African,female,65,67,1
49,2,Indian,female,100,92,1
49,3,American,female,52,27,1
49,4,American,female,95,27,0
49,6,Indian,female,103,36,0
50,1,African,female,66,69,1
50,2,Indian,female,100,94,1
50,3,American,female,54,35,1
50,4,American,female,97,25,0
50,6,Indian,female,106,35,0
51,1,African,female,68,76,1
51,2,Indian,female,100,96,1
51,3,American,female,56,30,1
51,4,American,female,98,15,0
51,5,Chinese,male,158.0,73.9498743710662,0
51,6,Indian,female,107,30,0
52,1,African,female,69,78,1
52,2,Indian,female,100,98,1
52,3,American,female,59,26,1
52,4,American,female,99,8,0
52,5,Chinese,male,161.0,78.9498743710662,0
52,6,Indian,female,109,25,0
53,1,African,female,72,77,1
53,2,Indian,female,100,100,1
53,3,American,female,60,30,1
53,4,American,female,101,6,0
53,5,Chinese,male,162.0,80.9498743710662,0
53,6,Indian,female,111,19,0
54,1,African,female,73,72,1
54,2,Indian,female,100,102,1
54,3,American,female,63,31,1
54,4,American,female,103,6,0
54,5,Chinese,male,165.0,81.9498743710662,0
54,6,Indian,female,114,27,0
55,1,African,female,75,73,1
55,2,Indian,female,100,104,1
55,3,American,female,64,32,1
55,4,American,female,104,6,0
55,5,Chinese,male,167.0,75.9498743710662,0
55,6,Indian,female,117,34,0
56,1,African,female,78,68,1
56,2,Indian,female,100,106,1
56,3,American,female,67,40,1
56,4,American,female,106,0,0
56,5,Chinese,male,170.0,78.9498743710662,0
56,6,Indian,female,119,35,0
57,1,African,female,81,64,1
57,2,Indian,female,100,108,1
57,3,American,female,68,46,1
57,4,American,female,108,-7,0
57,5,Chinese,male,171.0,83.9498743710662,0
57,6,Indian,female,122,33,0
58,1,African,female,83,68,1
58,2,Indian,female,100,110,1
58,3,American,female,70,49,1
58,4,American,female,109,-17,0
58,5,Chinese,male,174.0,81.9498743710662,0
58,6,Indian,female,123,30,0
59,1,African,female,85,70,1
59,2,Indian,female,100,112,1
59,3,American,female,71,44,1
59,4,American,female,112,-20,0
59,5,Chinese,male,175.0,88.9498743710662,0
59,6,Indian,female,126,29,0
60,1,African,female,86,73,1
60,2,Indian,female,100,114,1
60,3,American,female,74,43,1
60,4,American,female,115,-29,0
60,5,Chinese,male,176.0,86.9498743710662,0
60,6,Indian,female,129,26,0
61,1,African,female,88,74,1
61,2,Indian,female,100,116,1
61,3,American,female,76,46,1
61,4,American,female,117,-37,0
61,5,Chinese,male,179.0,85.9498743710662,0
61,6,Indian,female,130,32,0
62,1,African,female,91,80,1
62,2,Indian,female,100,118,1
62,3,American,female,79,47,1
62,4,American,female,118,-38,0
62,5,Chinese,male,182.0,84.9498743710662,0
62,6,Indian,female,133,39,0
63,1,African,female,93,86,1
63,2,Indian,female,100,120,1
63,3,American,female,81,50,1
63,4,American,female,121,-45,0
63,5,Chinese,male,185.0,91.9498743710662,0
63,6,Indian,female,134,44,0
64,1,African,female,96,90,1
64,2,Indian,female,100,122,1
64,3,American,female,84,49,1
64,4,American,female,122,-54,0
64,5,Chinese,male,187.0,92.9498743710662,0
64,6,Indian,female,137,40,0
65,1,African,female,98,87,1
65,2,Indian,female,100,124,1
65,3,American,female,87,50,1
65,4,American,female,125,-58,0
65,5,Chinese,male,190.0,86.9498743710662,0
65,6,Indian,female,138,48,0
66,1,African,female,101,95,1
66,2,Indian,female,100,126,1
66,3,American,female,90,48,1
66,4,American,female,126,-65,0
66,5,Chinese,male,193.0,84.9498743710662,0
66,6,Indian,female,141,54,0
67,1,African,female,103,90,1
67,2,Indian,female,100,128,1
67,3,American,female,91,42,1
67,4,American,female,129,-63,0
67,5,Chinese,male,195.0,87.9498743710662,0
67,6,Indian,female,144,53,0
68,1,African,female,105,88,1
68,2,Indian,female,100,130,1
68,3,American,female,94,47,1
68,4,American,female,131,-59,0
68,5,Chinese,male,196.0,85.9498743710662,0
68,6,Indian,female,147,55,0
69,1,African,female,106,95,1
69,2,Indian,female,100,132,1
69,3,American,female,97,42,1
69,4,American,female,133,-55,0
69,5,Chinese,male,199.0,82.9498743710662,0
69,6,Indian,female,148,56,0
70,1,African,female,107,99,1
70,2,Indian,female,100,134,1
70,3,American,female,100,47,1
70,4,American,female,134,-49,0
70,5,Chinese,male,201.0,89.9498743710662,0
70,6,Indian,female,151,53,0
71,1,African,female,109,94,1
71,2,Indian,female,100,136,1
71,3,American,female,103,55,1
71,4,American,female,136,-40,0
71,5,Chinese,male,204.0,90.9498743710662,0
71,6,Indian,female,152,48,0
72,1,African,female,112,88,1
72,2,Indian,female,100,138,1
72,3,American,female,105,63,1
72,4,American,female,139,-31,0
72,5,Chinese,male,206.0,85.9498743710662,0
72,6,Indian,female,154,50,0
73,1,African,female,114,83,1
73,2,Indian,female,100,140,1
73,3,American,female,106,64,1
73,4,American,female,142,-28,0
73,5,Chinese,male,209.0,93.9498743710662,0
73,6,Indian,female,157,58,0
74,1,African,female,116,90,1
74,2,Indian,female,100,142,1
74,3,American,female,107,60,1
74,4,American,female,143,-23,0
74,5,Chinese,male,210.0,89.9498743710662,0
74,6,Indian,female,160,56,0
75,1,African,female,119,89,1
75,2,Indian,female,100,144,1
75,3,American,female,110,57,1
75,4,American,female,146,-18,0
75,5,Chinese,male,212.0,87.9498743710662,0
75,6,Indian,female,161,57,0
76,1,African,female,120,97,1
76,2,Indian,female,100,146,1
76,3,American,female,113,59,1
76,4,American,female,148,-11,0
76,5,Chinese,male,215.0,93.9498743710662,0
76,6,Indian,female,162,55,0
77,1,African,female,123,96,1
77,2,Indian,female,100,148,1
77,3,American,female,115,58,1
77,4,American,female,150,-11,0
77,5,Chinese,male,217.0,100.9498743710662,0
77,6,Indian,female,163,62,0
78,1,African,female,125,94,1
78,2,Indian,female,100,150,1
78,3,American,female,118,59,1
78,4,American,female,152,-9,0
78,5,Chinese,male,219.0,102.9498743710662,0
78,6,Indian,female,166,60,0
79,1,African,female,126,95,1
79,2,Indian,female,100,152,1
79,3,American,female,120,54,1
79,4,American,female,154,-8,0
79,5,Chinese,male,221.0,98.9498743710662,0
79,6,Indian,female,168,65,0
80,1,African,female,127,98,1
80,2,Indian,female,100,154,1
80,3,American,female,122,58,1
80,4,American,female,156,-2,0
80,5,Chinese,male,224.0,105.9498743710662,0
80,6,Indian,female,169,70,0
81,1,African,female,128,92,1
81,2,Indian,female,103,162,1
81,3,American,female,125,61,1
81,4,American,female,159,0,0
81,5,Chinese,male,227.0,113.9498743710662,0
81,6,Indian,female,170,77,0
82,1,African,female,131,88,1
82,2,Indian,female,104,158,1
82,3,American,female,126,57,1
82,4,American,female,161,8,0
82,5,Chinese,male,230.0,117.9498743710662,0
82,6,Indian,female,171,76,0
83,1,African,female,134,83,1
83,2,Indian,female,106,156,1
83,3,American,female,127,58,1
83,4,American,female,162,13,0
83,5,Chinese,male,231.0,114.9498743710662,0
83,6,Indian,female,174,74,0
84,1,African,female,136,85,1
84,2,Indian,female,109,163,1
84,3,American,female,128,63,1
84,4,American,female,163,13,0
84,5,Chinese,male,234.0,119.9498743710662,0
84,6,Indian,female,176,82,0
85,1,African,female,138,92,1
85,2,Indian,female,111,168,1
85,3,American,female,130,59,1
85,4,American,female,164,23,0
85,5,Chinese,male,237.0,120.9498743710662,0
85,6,Indian,female,178,83,0
86,1,African,female,140,86,1
86,2,Indian,female,114,172,1
86,3,American,female,132,67,1
86,4,American,female,166,26,0
86,5,Chinese,male,238.0,117.9498743710662,0
86,6,Indian,female,180,80,0
87,1,African,female,142,91,1
87,2,Indian,female,116,179,1
87,3,American,female,135,69,1
87,4,American,female,168,26,0
87,5,Chinese,male,241.0,119.9498743710662,0
87,6,Indian,female,182,81,0
88,1,African,female,143,95,1
88,2,Indian,female,118,176,1
88,3,American,female,137,74,1
88,4,American,female,171,30,0
88,5,Chinese,male,242.0,126.9498743710662,0
88,6,Indian,female,185,88,0
89,1,African,female,144,99,1
89,2,Indian,female,120,184,1
89,3,American,female,138,78,1
89,4,American,female,172,30,0
89,5,Chinese,male,243.0,123.9498743710662,0
89,6,Indian,female,187,93,0
90,1,African,female,145,103,1
90,2,Indian,female,123,191,1
90,3,American,female,141,84,1
90,4,American,female,175,30,0
90,5,Chinese,male,244.0,117.9498743710662,0
90,6,Indian,female,190,98,0
91,1,African,female,146,111,1
91,2,Indian,female,126,185,1
91,3,American,female,142,80,1
91,4,American,female,178,32,0
91,5,Chinese,male,245.0,115.9498743710662,0
91,6,Indian,female,193,93,0
92,1,African,female,149,108,1
92,2,Indian,female,128,184,1
92,3,American,female,143,74,1
92,4,American,female,181,40,0
92,5,Chinese,male,246.0,110.9498743710662,0
92,6,Indian,female,195,88,0
93,1,African,female,150,102,1
93,2,Indian,female,129,182,1
93,3,American,female,146,79,1
93,4,American,female,184,49,0
93,5,Chinese,male,249.0,106.9498743710662,0
93,6,Indian,female,197,93,0
94,1,African,female,151,96,1
94,2,Indian,female,130,176,1
94,3,American,female,149,81,1
94,4,American,female,185,57,0
94,5,Chinese,male,252.0,108.9498743710662,0
94,6,Indian,female,199,92,0
95,1,African,female,153,97,1
95,2,Indian,female,133,172,1
95,3,American,female,150,80,1
95,4,American,female,186,63,0
95,5,Chinese,male,254.0,114.9498743710662,0
95,6,Indian,female,200,91,0
96,1,African,female,154,94,1
96,2,Indian,female,136,168,1
96,3,American,female,153,77,1
96,4,American,female,187,73,0
96,5,Chinese,male,255.0,113.9498743710662,0
96,6,Indian,female,202,92,0
97,1,African,female,155,89,1
97,2,Indian,female,139,165,1
97,3,American,female,156,84,1
97,4,American,female,188,83,0
97,5,Chinese,male,256.0,120.9498743710662,0
97,6,Indian,female,205,86,0
98,1,African,female,157,94,1
98,2,Indian,female,142,162,1
98,3,American,female,157,90,1
98,4,American,female,191,91,0
98,5,Chinese,male,257.0,119.9498743710662,0
98,6,Indian,female,206,82,0
99,1,African,female,159,91,1
99,2,Indian,female,144,159,1
99,3,American,female,160,84,1
99,4,American,female,192,100,0
99,5,Chinese,male,259.0,117.9498743710662,0
99,6,Indian,female,208,90,0
