Timestep,Person,Nationality,Gender,X_Coord,Y_Coord,Target
0,1,German,male,3,4,0
0,2,German,female,3,1,0
0,3,German,female,2,1,0
0,4,African,male,2,-1,0
0,5,American,male,2,4,0
0,6,African,female,3,8,0
1,1,German,male,6,1,0
1,2,German,female,4,5,0
1,3,German,female,5,-3,0
1,4,African,male,4,-3,0
1,5,American,male,5,5,0
1,6,African,female,6,6,0
2,1,German,male,7,7,0
2,2,German,female,7,1,0
2,3,German,female,8,0,0
2,4,African,male,6,-7,0
2,5,American,male,6,9,0
2,6,African,female,9,5,0
3,1,German,male,9,5,0
3,2,German,female,9,-5,0
3,3,German,female,9,-4,0
3,4,African,male,8,1,0
3,5,American,male,7,14,0
3,6,African,female,10,13,0
4,1,German,male,12,6,0
4,2,German,female,11,-10,0
4,3,German,female,12,3,0
4,4,African,male,10,-1,0
4,5,American,male,8,11,0
4,6,African,female,11,18,0
5,1,German,male,13,8,0
5,2,German,female,12,-2,0
5,3,German,female,15,5,0
5,4,African,male,11,-4,0
5,5,American,male,10,13,0
5,6,African,female,14,22,0
6,1,German,male,16,4,0
6,2,German,female,14,-1,0
6,3,German,female,17,7,0
6,4,African,male,12,-2,0
6,5,American,male,13,17,0
6,6,African,female,17,24,0
7,1,German,male,17,8,0
7,2,German,female,16,7,0
7,3,German,female,19,10,0
7,4,African,male,14,0,0
7,5,American,male,15,19,0
7,6,African,female,19,26,0
8,1,German,male,18,11,0
8,2,German,female,19,8,0
8,3,German,female,21,6,0
8,4,African,male,17,3,0
8,5,American,male,16,21,0
8,6,African,female,22,30,0
9,1,German,male,21,12,0
9,2,German,female,20,9,0
9,3,German,female,22,10,0
9,4,African,male,19,9,0
9,5,American,male,17,19,0
9,6,African,female,25,33,0
10,1,German,male,22,8,0
10,2,German,female,23,15,0
10,3,German,female,25,8,0
10,4,African,male,22,6,0
10,5,American,male,18,17,0
10,6,African,female,27,35,0
11,1,German,male,25,7,0
11,2,German,female,25,14,0
11,3,German,female,26,5,0
11,4,African,male,25,2,0
11,5,American,male,21,21,0
11,6,African,female,29,40,0
12,1,German,male,26,5,0
12,2,German,female,28,22,0
12,3,German,female,27,12,0
12,4,African,male,28,4,0
12,5,American,male,22,27,0
12,6,African,female,32,46,0
13,1,German,male,28,1,0
13,2,German,female,30,30,0
13,3,German,female,28,8,0
13,4,African,male,30,1,0
13,5,American,male,24,23,0
13,6,African,female,35,44,0
14,1,German,male,31,5,0
14,2,German,female,33,37,0
14,3,German,female,29,12,0
14,4,African,male,33,2,0
14,5,American,male,25,26,0
14,6,African,female,37,39,0
15,1,German,male,34,13,0
15,2,German,female,35,31,0
15,3,German,female,31,8,0
15,4,African,male,36,4,0
15,5,American,male,26,31,0
15,6,African,female,39,40,0
16,1,German,male,35,21,0
16,2,German,female,36,38,0
16,3,German,female,34,6,0
16,4,African,male,38,0,0
16,5,American,male,29,30,0
16,6,African,female,41,39,0
17,1,German,male,36,28,0
17,2,German,female,38,42,0
17,3,German,female,35,5,0
17,4,African,male,41,7,0
17,5,American,male,30,25,0
17,6,African,female,44,44,0
18,1,German,male,38,33,0
18,2,German,female,41,38,0
18,3,German,female,36,0,0
18,4,African,male,44,15,0
18,5,American,male,31,21,0
18,6,African,female,47,40,0
19,1,German,male,40,30,0
19,2,German,female,43,32,0
19,3,German,female,37,7,0
19,4,African,male,45,20,0
19,5,American,male,33,20,0
19,6,African,female,50,35,0
20,1,German,male,43,26,0
20,2,German,female,46,38,0
20,3,German,female,40,6,0
20,4,African,male,46,22,0
20,5,American,male,35,26,0
20,6,African,female,52,39,0
21,1,German,male,45,22,0
21,2,German,female,47,41,0
21,3,German,female,43,5,0
21,4,African,male,49,29,0
21,5,American,male,38,29,0
21,6,African,female,54,41,0
22,1,German,male,48,20,0
22,2,German,female,48,35,0
22,3,German,female,45,1,0
22,4,African,male,51,35,0
22,5,American,male,39,26,0
22,6,African,female,57,40,0
23,1,German,male,51,27,0
23,2,German,female,51,31,0
23,3,German,female,48,9,0
23,4,African,male,54,32,0
23,5,American,male,42,33,0
23,6,African,female,58,45,0
24,1,German,male,53,28,0
24,2,German,female,54,39,0
24,3,German,female,50,15,0
24,4,African,male,56,28,0
24,5,American,male,44,32,0
24,6,African,female,59,40,0
25,1,German,male,54,36,0
25,2,German,female,57,44,0
25,3,German,female,53,10,0
25,4,African,male,59,24,0
25,5,American,male,46,28,0
25,6,African,female,61,36,0
26,1,German,male,57,33,0
26,2,German,female,59,39,0
26,3,German,female,54,18,0
26,4,African,male,61,30,0
26,5,American,male,47,34,0
26,6,African,female,62,32,0
27,1,German,male,59,35,0
27,2,German,female,60,41,0
27,3,German,female,56,15,0
27,4,African,male,64,32,0
27,5,American,male,49,41,0
27,6,African,female,64,33,0
28,1,German,male,60,31,0
28,2,German,female,62,44,0
28,3,German,female,58,9,0
28,4,African,male,66,33,0
28,5,American,male,52,42,0
28,6,African,female,67,35,0
29,1,German,male,63,28,0
29,2,German,female,64,38,0
29,3,German,female,60,11,0
29,4,African,male,69,29,0
29,5,American,male,55,47,0
29,6,African,female,70,30,0
30,1,German,male,66,34,0
30,2,German,female,65,41,0
30,3,German,female,63,16,0
30,4,African,male,70,32,0
30,5,American,male,58,41,0
30,6,African,female,73,26,0
31,1,German,male,69,28,0
31,2,German,female,66,47,0
31,3,German,female,64,12,0
31,4,African,male,73,30,0
31,5,American,male,61,47,0
31,6,African,female,76,30,0
32,1,German,male,70,29,0
32,2,German,female,67,43,0
32,3,German,female,65,19,0
32,4,African,male,75,25,0
32,5,American,male,64,48,0
32,6,African,female,77,35,0
33,1,German,male,73,27,0
33,2,German,female,70,48,0
33,3,German,female,66,16,0
33,4,African,male,76,32,0
33,5,American,male,65,55,0
33,6,African,female,80,30,0
34,1,German,male,74,24,0
34,2,German,female,73,43,0
34,3,German,female,68,24,0
34,4,African,male,79,39,0
34,5,American,male,66,57,0
34,6,African,female,82,36,0
35,1,German,male,75,25,0
35,2,German,female,76,38,0
35,3,German,female,69,32,0
35,4,African,male,81,33,0
35,5,American,male,69,59,0
35,6,African,female,84,35,0
36,1,German,male,77,20,0
36,2,German,female,77,39,0
36,3,German,female,72,39,0
36,4,African,male,83,34,0
36,5,American,male,72,62,0
36,6,African,female,87,32,0
37,1,German,male,79,24,0
37,2,German,female,78,33,0
37,3,German,female,75,45,0
37,4,African,male,84,41,0
37,5,American,male,74,69,0
37,6,African,female,90,29,0
38,1,German,male,81,27,0
38,2,German,female,79,31,0
38,3,German,female,76,39,0
38,4,African,male,86,35,0
38,5,American,male,75,72,0
38,6,African,female,93,27,0
39,1,German,male,83,25,0
39,2,German,female,81,25,0
39,3,German,female,78,41,0
39,4,African,male,87,34,0
39,5,American,male,78,76,0
39,6,African,female,95,32,0
40,1,German,male,86,33,0
40,2,German,female,82,26,0
40,3,German,female,80,42,0
40,4,African,male,88,38,0
40,5,American,male,79,81,0
40,6,African,female,96,38,0
41,1,German,male,89,39,0
41,2,German,female,84,28,0
41,3,German,female,83,41,0
41,4,African,male,91,43,0
41,5,American,male,82,82,0
41,6,African,female,97,39,0
42,1,German,male,90,34,0
42,2,German,female,85,25,0
42,3,German,female,84,46,0
42,4,African,male,94,39,0
42,5,American,male,83,88,0
42,6,African,female,100,44,0
43,1,German,male,91,40,0
43,2,German,female,88,33,0
43,3,German,female,85,47,0
43,4,African,male,96,35,0
43,5,American,male,86,91,0
43,6,African,female,103,45,0
44,1,German,male,92,43,0
44,2,German,female,89,29,0
44,3,German,female,86,45,0
44,4,African,male,99,40,0
44,5,American,male,89,96,0
44,6,African,female,106,51,0
45,1,German,male,94,39,0
45,2,German,female,90,32,0
45,3,German,female,87,43,0
45,4,African,male,100,43,0
45,5,American,male,92,91,0
45,6,African,female,107,53,0
46,1,German,male,97,40,0
46,2,German,female,91,35,0
46,3,German,female,88,45,0
46,4,African,male,102,48,0
46,5,American,male,93,93,0
46,6,African,female,109,60,0
47,1,German,male,98,47,0
47,2,German,female,93,37,0
47,3,German,female,90,49,0
47,4,African,male,104,49,0
47,5,American,male,95,96,0
47,6,African,female,110,62,0
48,1,German,male,101,44,0
48,2,German,female,94,38,0
48,3,German,female,91,48,0
48,4,African,male,105,56,0
48,5,American,male,96,92,0
48,6,African,female,113,61,0
49,1,German,male,104,38,0
49,2,German,female,96,40,0
49,3,German,female,93,50,0
49,4,African,male,106,50,0
49,5,American,male,97,87,0
49,6,African,female,114,56,0
50,1,German,male,106,39,0
50,2,German,female,99,35,0
50,3,German,female,96,52,0
50,4,African,male,107,46,0
50,5,American,male,99,89,0
50,6,African,female,116,57,0
51,1,German,male,109,47,0
51,2,German,female,101,39,0
51,3,German,female,99,53,0
51,4,African,male,110,41,0
51,5,American,male,102,94,0
51,6,African,female,119,52,0
52,1,German,male,110,55,0
52,2,German,female,103,42,0
52,3,German,female,100,50,0
52,4,African,male,112,43,0
52,5,American,male,103,101,0
52,6,African,female,122,48,0
53,1,German,male,111,56,0
53,2,German,female,105,39,0
53,3,German,female,103,44,0
53,4,African,male,113,38,0
53,5,American,male,104,107,0
53,6,African,female,124,52,0
54,1,German,male,114,53,0
54,2,German,female,107,35,0
54,3,German,female,104,42,0
54,4,African,male,116,32,0
54,5,American,male,106,110,0
54,6,African,female,126,54,0
55,1,German,male,115,49,0
55,2,German,female,110,33,0
55,3,German,female,106,48,0
55,4,African,male,117,36,0
55,5,American,male,108,116,0
55,6,African,female,127,57,0
56,1,German,male,117,47,0
56,2,German,female,112,34,0
56,3,German,female,108,55,0
56,4,African,male,118,31,0
56,5,American,male,110,119,0
56,6,African,female,129,58,0
57,1,German,male,120,42,0
57,2,German,female,114,40,0
57,3,German,female,111,58,0
57,4,African,male,121,38,0
57,5,American,male,111,113,0
57,6,African,female,132,64,0
58,1,German,male,121,48,0
58,2,German,female,115,43,0
58,3,German,female,112,66,0
58,4,African,male,124,32,0
58,5,American,male,114,119,0
58,6,African,female,134,70,0
59,1,German,male,123,44,0
59,2,German,female,116,38,0
59,3,German,female,113,63,0
59,4,African,male,126,39,0
59,5,American,male,115,114,0
59,6,African,female,137,74,0
60,1,German,male,124,38,0
60,2,German,female,117,40,0
60,3,German,female,116,65,0
60,4,African,male,129,45,0
60,5,American,male,118,122,0
60,6,African,female,139,71,0
61,1,German,male,125,34,0
61,2,German,female,118,35,0
61,3,German,female,117,69,0
61,4,African,male,131,48,0
61,5,American,male,121,127,0
61,6,African,female,142,79,0
62,1,German,male,126,40,0
62,2,German,female,119,32,0
62,3,German,female,118,67,0
62,4,African,male,133,47,0
62,5,American,male,124,130,0
62,6,African,female,144,74,0
63,1,German,male,129,37,0
63,2,German,female,122,36,0
63,3,German,female,120,64,0
